emp_no,first_name,last_name,birth_date,from_date,to_date,titles
91739,Houman,Peternell,1957-03-22,2000-12-02,1999-01-01,Staff
91759,Josyula,Xiaoshan,1961-09-01,2000-04-16,1999-01-01,Senior Staff
91768,Shir,Ladret,1956-07-07,2000-11-22,1999-01-01,Engineer
91934,Nikolaus,Swen,1965-01-03,2000-01-28,2002-07-03,Engineer
91972,Moie,Woycyznski,1953-11-04,2000-01-18,1999-01-01,Senior Engineer
92037,Yishay,Laurillard,1964-07-07,2000-05-01,1999-01-01,Engineer
92047,Ranga,Zumaque,1961-05-17,2000-08-03,1999-01-01,Senior Engineer
92127,Ramya,Bail,1962-04-27,2000-01-03,1999-01-01,Senior Engineer
92205,Somnath,Landherr,1962-07-18,2000-01-27,1999-01-01,Engineer
92208,Rimon,Sankaranarayanan,1956-10-28,2000-12-05,1999-01-01,Senior Staff
92249,Tayeb,Baby,1960-02-22,2000-01-02,1999-01-01,Engineer
92390,Radoslaw,Pfau,1963-08-13,2000-11-05,1999-01-01,Staff
92476,Kaijung,Chleq,1961-03-19,2000-02-11,1999-01-01,Senior Engineer
92499,Valery,Jording,1953-04-20,2000-01-16,1999-01-01,Staff
92504,Goa,Zlotek,1959-11-13,2000-01-21,1999-01-01,Assistant Engineer
92531,Wuxu,Hockney,1955-03-18,2000-02-25,1999-01-01,Staff
92548,Phule,Monarch,1960-11-21,2000-01-03,1999-01-01,Engineer
92585,Horward,Kampfer,1958-12-28,2000-01-13,1999-01-01,Staff
92589,Vasiliy,McClure,1962-12-11,2000-08-23,1999-01-01,Engineer
92679,Sajjan,Dayang,1964-08-27,2000-01-28,1999-01-01,Staff
92704,Khalil,Atrawala,1953-04-22,2000-01-08,1999-01-01,Engineer
92737,Ingmar,Fontan,1955-10-14,2000-02-19,1999-01-01,Engineer
92746,Cordelia,Roccetti,1952-12-21,2000-01-21,2000-05-30,Senior Engineer
92767,Ramalingam,Templeman,1959-05-17,2000-01-08,1999-01-01,Engineer
92865,Niclas,Tsukuda,1960-02-04,2000-07-29,1999-01-01,Engineer
92923,Chandrasekaran,Fordan,1958-09-10,2000-04-14,1999-01-01,Engineer
92944,Make,Trachtenberg,1958-05-05,2000-01-06,2000-06-22,Staff
93109,Amalendu,Kalorkoti,1963-05-17,2000-09-11,1999-01-01,Staff
93127,Palash,Schieder,1959-06-29,2000-03-16,1999-01-01,Engineer
93132,Jeane,Roccetti,1960-09-03,2000-01-18,1999-01-01,Staff
93186,Naftaly,Naudin,1956-04-08,2000-07-06,1999-01-01,Senior Staff
93242,Basim,Schiper,1957-12-30,2000-03-26,1999-01-01,Technique Leader
93252,Yuping,Bael,1961-02-12,2000-01-15,1999-01-01,Staff
93275,Brewster,Iisaka,1958-04-24,2000-10-24,1999-01-01,Staff
93304,Leucio,Benveniste,1958-05-12,2000-01-04,1999-01-01,Staff
93356,Persi,Heydon,1959-03-04,2000-08-26,1999-01-01,Engineer
93377,Toshimo,Kalefeld,1963-04-11,2000-06-14,1999-01-01,Senior Engineer
93460,Zorica,Khasidashvili,1961-07-26,2000-09-30,1999-01-01,Engineer
93549,Arie,Coullard,1965-02-01,2000-03-28,1999-01-01,Senior Staff
93558,Odinaldo,Wendorf,1953-10-24,2000-01-06,1999-01-01,Engineer
93567,Sanjeeva,Mitina,1954-11-19,2000-12-08,1999-01-01,Senior Staff
93586,Francesca,Zockler,1957-03-17,2000-05-09,1999-01-01,Staff
93814,Kiyomitsu,Madeira,1963-08-15,2000-01-29,1999-01-01,Assistant Engineer
93915,Genevieve,Waymire,1953-02-11,2000-01-29,1999-01-01,Engineer
94087,Srinidhi,Dymetman,1956-02-05,2000-12-26,1999-01-01,Engineer
94136,Takushi,Wegerle,1958-12-30,2000-09-28,1999-01-01,Technique Leader
94146,Utz,Chenney,1962-08-22,2000-01-28,1999-01-01,Engineer
94286,Hongzue,Besselaar,1964-04-24,2000-07-31,1999-01-01,Senior Staff
94345,Kensei,Kalsbeek,1958-04-22,2000-01-15,1999-01-01,Staff
94364,Heon,Heping,1953-02-04,2000-09-20,1999-01-01,Engineer
94384,Aris,Janetzko,1953-09-13,2000-04-18,1999-01-01,Senior Staff
94426,Fen,Emden,1959-06-27,2000-09-12,1999-01-01,Senior Engineer
94430,Adam,Wiegley,1955-11-14,2000-01-17,1999-01-01,Senior Staff
94578,Takahira,Kusalik,1957-08-11,2000-08-15,1999-01-01,Staff
94618,Weicheng,Halevi,1964-10-31,2000-01-04,2000-07-02,Engineer
94712,Masadi,Reinhart,1964-10-17,2000-11-26,1999-01-01,Staff
94729,Steen,Marchesini,1962-10-20,2000-04-16,2001-07-26,Senior Engineer
94812,Koichi,Roisin,1955-10-11,2000-01-20,1999-01-01,Staff
94873,Vidya,Cools,1964-02-19,2000-01-17,1999-01-01,Engineer
94929,Marla,Ruther,1960-08-22,2000-11-03,1999-01-01,Senior Engineer
94955,Jaber,Honiden,1953-01-21,2000-01-10,1999-01-01,Senior Engineer
95051,Junsik,Varman,1953-10-17,2000-08-22,1999-01-01,Engineer
95060,Yurij,Berendt,1962-05-20,2000-04-25,1999-01-01,Senior Staff
95070,Jinpo,Stasinski,1959-09-29,2000-05-15,1999-01-01,Senior Engineer
95217,Chinho,Cunliffe,1957-05-11,2000-01-08,1999-01-01,Engineer
95255,Hitofumi,Atrawala,1964-07-02,2000-09-26,1999-01-01,Senior Staff
95327,Malu,Levasseur,1960-12-15,2000-07-31,1999-01-01,Staff
95386,Maik,Claffy,1955-05-03,2000-03-31,1999-01-01,Engineer
95537,Nahla,Schaap,1954-11-07,2000-06-17,1999-01-01,Senior Staff
95546,Abdelkader,Hutter,1963-10-04,2000-05-14,1999-01-01,Senior Staff
95555,Ipke,Pettit,1958-12-23,2000-06-29,1999-01-01,Technique Leader
95593,Marke,Farrar,1960-04-28,2000-04-05,1999-01-01,Engineer
95666,Spyrose,Vanwelkenhuysen,1964-03-07,2000-01-18,1999-01-01,Staff
95692,Abdulah,Hofstetter,1965-01-20,2000-05-24,2000-07-24,Engineer
95814,Hidefumi,Dulli,1962-01-18,2000-02-01,1999-01-01,Staff
95927,Takahiro,Zongker,1959-01-13,2000-01-12,1999-01-01,Engineer
95999,Owen,Murillo,1953-02-25,2000-07-12,1999-01-01,Senior Staff
96097,Brigham,Isard,1962-12-03,2000-08-05,1999-01-01,Senior Staff
96125,Ult,Iivonen,1954-05-31,2000-07-26,1999-01-01,Senior Staff
96134,Jingling,Maliniak,1956-10-16,2000-11-18,1999-01-01,Staff
96180,Dinkar,Zhang,1963-07-05,2000-03-31,1999-01-01,Assistant Engineer
96333,Pranjal,Tramer,1952-08-01,2000-04-25,1999-01-01,Senior Engineer
96344,Rosine,Quaggetto,1959-07-26,2000-11-04,2001-08-16,Engineer
96407,Hidde,Veccia,1962-04-04,2000-01-08,1999-01-01,Senior Staff
96471,Fei,Garnier,1956-11-07,2000-05-14,1999-01-01,Senior Staff
96601,Berthier,Marrevee,1960-06-15,2000-05-13,1999-01-01,Engineer
96781,Adil,Akaboshi,1958-06-29,2000-10-20,1999-01-01,Senior Engineer
96875,Martins,Attimonelli,1958-03-06,2000-02-24,1999-01-01,Engineer
96947,Diederik,Khalil,1957-08-02,2000-04-27,1999-01-01,Staff
96986,Sham,Lubachevsky,1959-02-23,2000-06-07,1999-01-01,Engineer
97006,Remmert,Trystram,1955-01-19,2000-07-16,1999-01-01,Engineer
97010,Marin,Veccia,1959-04-09,2000-01-24,1999-01-01,Staff
97016,Ingmar,Harnett,1954-03-06,2000-05-03,1999-01-01,Senior Staff
97218,Maia,Panangaden,1958-08-20,2000-03-05,1999-01-01,Engineer
97248,Yoshinari,Marwedel,1957-10-15,2000-10-26,1999-01-01,Senior Staff
97314,Adamantios,Bach,1961-10-26,2000-09-21,1999-01-01,Engineer
97332,Sadun,Hasenauer,1964-05-11,2000-01-05,1999-01-01,Staff
97410,Spyrose,Beausoleil,1954-05-11,2000-08-23,2001-05-24,Staff
97486,Sanjiv,Kroha,1961-12-13,2000-09-13,2001-11-11,Staff
97536,Ult,Azadmanesh,1954-05-01,2000-01-05,2000-02-14,Staff
97572,Jouko,Fontet,1954-06-24,2000-01-09,2001-01-25,Staff
97578,Irena,Osgood,1958-09-14,2000-01-26,1999-01-01,Senior Staff
97686,Divine,DiGiano,1957-08-24,2000-10-03,1999-01-01,Senior Staff
97707,Nagui,Chinin,1957-10-20,2000-02-12,1999-01-01,Technique Leader
97741,Kasturi,Vigier,1960-02-21,2000-01-23,1999-01-01,Staff
97826,Guangming,Motley,1960-09-07,2000-01-22,1999-01-01,Staff
97830,Roded,Birsak,1955-01-12,2000-04-06,2000-09-30,Senior Staff
97858,Yuriy,Fiutem,1964-04-01,2000-12-08,1999-01-01,Staff
97907,Jongsuk,Luiz,1953-11-23,2000-04-26,1999-01-01,Senior Staff
97948,Henk,Geffroy,1955-11-11,2000-09-02,1999-01-01,Senior Staff
97966,Jiong,Chepyzhov,1957-01-17,2000-09-11,1999-01-01,Technique Leader
97977,Akeel,Stellhorn,1957-07-24,2000-02-06,1999-01-01,Technique Leader
98028,Rafols,Shackel,1952-02-06,2000-01-30,1999-01-01,Staff
98040,Ortrun,Pettis,1954-08-15,2000-05-21,1999-01-01,Engineer
98048,Van,Rousseau,1963-09-13,2000-05-15,2001-12-29,Technique Leader
98052,JoAnne,Binding,1954-09-24,2000-01-24,1999-01-01,Engineer
98077,Shigeichiro,Kalloufi,1957-08-12,2000-08-17,2002-05-28,Senior Staff
98086,Elvis,Levergood,1956-03-24,2000-08-01,1999-01-01,Staff
98260,Sarita,Zweizig,1959-03-27,2000-07-14,1999-01-01,Staff
98279,Ute,Birsak,1952-05-10,2000-10-01,1999-01-01,Assistant Engineer
98515,Dines,Sambasivam,1962-06-12,2000-03-29,1999-01-01,Staff
98594,Eldridge,Kruskal,1955-03-04,2000-01-25,1999-01-01,Engineer
98629,Tesuro,Rodite,1964-01-04,2000-01-06,1999-01-01,Technique Leader
98647,Munehiro,Zweizig,1963-11-10,2000-10-23,1999-01-01,Senior Staff
98669,Bernd,Lorho,1964-02-27,2000-08-15,1999-01-01,Engineer
98716,Sanjoy,Zockler,1956-07-25,2000-05-15,1999-01-01,Staff
98736,Make,Kleiser,1953-08-19,2000-04-09,1999-01-01,Assistant Engineer
98873,Taegyun,Rohrbach,1964-02-25,2000-01-03,2002-04-02,Engineer
99005,Fay,Benner,1956-10-15,2000-05-18,1999-01-01,Senior Staff
99053,Rosella,Reutenauer,1956-06-14,2000-03-24,1999-01-01,Engineer
99219,Tran,Waeselynck,1964-10-08,2000-01-30,2001-06-10,Staff
99246,Jiong,Fraisse,1959-04-20,2000-12-25,1999-01-01,Engineer
99304,Noritoshi,Guardalben,1961-12-04,2000-12-17,2002-02-07,Staff
99421,Jayson,Tchuente,1963-07-21,2000-07-22,1999-01-01,Staff
99554,Subhankar,Glowinski,1960-12-15,2000-03-03,1999-01-01,Senior Engineer
99629,Rasiah,Raney,1962-05-19,2000-12-27,1999-01-01,Staff
99640,Mori,Danner,1964-03-13,2000-01-03,1999-01-01,Staff
99736,Mircea,Hardjono,1954-07-02,2000-06-14,1999-01-01,Technique Leader
99838,Hidde,Menyhert,1955-05-15,2000-08-08,1999-01-01,Engineer
99886,Basil,Bernardinello,1961-01-02,2000-04-16,1999-01-01,Engineer
99980,Mart,Brandsma,1958-03-24,2000-01-11,1999-01-01,Senior Engineer
99991,Fabrizio,Beausoleil,1957-01-03,2000-01-27,1999-01-01,Engineer
100001,Jasminko,Antonakopoulos,1953-02-07,2000-06-13,1999-01-01,Engineer
100004,Avishai,Nitsch,1960-04-16,2000-01-11,1999-01-01,Staff
100038,Srinidhi,Krohn,1964-04-17,2000-01-15,1999-01-01,Senior Engineer
100039,Junsik,Zlotek,1954-02-05,2000-10-10,1999-01-01,Staff
100042,Raimond,Turnbull,1955-11-03,2000-01-11,1999-01-01,Staff
100059,Kristinn,Perfilyeva,1962-06-04,2000-07-03,1999-01-01,Senior Staff
100100,Sakthirel,Caine,1956-03-17,2000-06-08,1999-01-01,Technique Leader
100119,Kiyomitsu,Uehara,1958-10-01,2000-11-24,1999-01-01,Senior Engineer
100128,Mani,Coney,1959-07-11,2000-09-25,2000-10-06,Technique Leader
100195,Pasqua,Rusmann,1953-12-10,2000-01-27,1999-01-01,Staff
100206,Arumugam,Wrigley,1952-09-12,2000-12-14,1999-01-01,Senior Engineer
100316,Wilmer,Chiodo,1959-06-19,2000-01-26,1999-01-01,Staff
100361,Roselyn,Masaki,1955-06-25,2000-01-27,1999-01-01,Staff
100364,Douadi,Luit,1954-12-22,2000-02-01,2001-06-06,Assistant Engineer
100387,Elliott,Minakawa,1960-08-22,2000-01-29,2001-07-02,Staff
100407,Inderjeet,Rubsam,1964-11-09,2000-03-28,2000-04-26,Staff
100468,Suvo,Rothenberg,1962-05-17,2000-01-17,1999-01-01,Engineer
100574,Lucien,Bennet,1955-07-18,2000-02-14,1999-01-01,Staff
100602,Ingmar,Kinley,1959-09-27,2000-07-03,1999-01-01,Staff
100688,Mrinalini,Figueira,1957-08-17,2000-04-24,1999-01-01,Senior Engineer
100762,Divine,Serot,1959-10-15,2000-08-11,1999-01-01,Senior Staff
100817,Elrique,Cromarty,1958-01-26,2000-02-01,1999-01-01,Engineer
100927,Troy,Lovengreen,1954-11-14,2000-10-07,1999-01-01,Assistant Engineer
100938,Jiafu,Bennis,1963-02-27,2000-01-21,1999-01-01,Staff
100943,Tuval,Merkl,1953-02-24,2000-01-09,1999-01-01,Engineer
100956,Armond,Gruenwald,1961-10-30,2000-04-22,1999-01-01,Senior Staff
100987,Arnd,Delgrossi,1960-05-09,2000-01-29,2000-03-25,Staff
100997,Christoph,Pietrzykowski,1962-09-13,2000-07-09,1999-01-01,Senior Engineer
101042,Vesna,Stemann,1960-02-25,2000-01-26,1999-01-01,Technique Leader
101069,Kwangsub,Marchesini,1957-01-24,2000-02-20,2001-11-21,Senior Staff
101107,Kwan,Petereit,1958-06-30,2000-12-29,1999-01-01,Senior Staff
101153,Manohar,Gill,1952-10-05,2000-08-12,1999-01-01,Senior Staff
101247,Mansur,Gelosh,1963-06-16,2000-04-11,1999-01-01,Staff
101275,Filipe,Bharadwaj,1963-03-28,2000-12-09,1999-01-01,Engineer
101312,Kamakshi,Auria,1953-01-23,2000-07-16,1999-01-01,Senior Engineer
101333,Along,Braunschweig,1957-10-24,2000-01-17,2002-04-29,Staff
101363,Hugh,Khalil,1956-12-27,2000-07-24,1999-01-01,Assistant Engineer
101372,Minghong,Pietrzykowski,1952-04-18,2000-10-27,1999-01-01,Senior Staff
101430,Junsik,Cincotta,1952-05-29,2000-01-04,1999-01-01,Engineer
101474,Roselyn,Chenney,1958-10-30,2000-06-07,1999-01-01,Engineer
101539,Shigehito,Rotem,1961-11-20,2000-01-17,1999-01-01,Staff
101542,Kauko,Nollmann,1954-07-23,2000-07-23,1999-01-01,Staff
101625,Maha,Bouloucos,1956-12-03,2000-06-29,1999-01-01,Senior Staff
101673,Moto,Muhlberg,1960-01-04,2000-05-09,1999-01-01,Senior Engineer
101686,Dinkar,Samarati,1957-12-05,2000-01-24,1999-01-01,Staff
101839,Parke,Bhattacharjee,1964-08-22,2000-01-03,1999-01-01,Senior Engineer
101876,Feipei,Merey,1954-09-07,2000-01-01,1999-01-01,Senior Engineer
101884,Radhakrishnan,Katalagarianos,1957-04-16,2000-01-04,1999-01-01,Assistant Engineer
101956,Bernice,Bonifati,1954-08-13,2000-01-12,1999-01-01,Engineer
101959,Yahiko,Scallan,1959-02-06,2000-05-12,1999-01-01,Senior Engineer
101968,Charlene,Kawashimo,1954-08-06,2000-02-24,1999-01-01,Staff
102059,Lillian,Pollock,1959-02-23,2000-11-24,1999-01-01,Engineer
102069,Alagu,Yurov,1952-04-12,2000-01-23,2002-03-26,Engineer
102145,Suzette,Kamber,1962-01-03,2000-01-16,2001-01-05,Engineer
102188,Jaques,Passafiume,1954-04-20,2000-05-31,1999-01-01,Senior Staff
102255,Shichao,dAstous,1961-03-21,2000-01-29,1999-01-01,Senior Staff
102270,Oddvar,Syrotiuk,1959-12-06,2000-01-29,1999-01-01,Senior Engineer
102283,Elzbieta,Terwilliger,1955-01-20,2000-01-19,1999-01-01,Engineer
102291,Xiaoqiang,Binding,1957-08-12,2000-01-27,1999-01-01,Engineer
102298,Tianruo,Selenyi,1955-01-15,2000-01-26,1999-01-01,Engineer
102313,Claude,Menyhert,1963-04-10,2000-11-12,1999-01-01,Engineer
102330,Ramalingam,Greibach,1958-06-18,2000-06-20,1999-01-01,Technique Leader
102349,Shigeichiro,Whitcomb,1952-04-22,2000-11-04,1999-01-01,Engineer
102369,Mizuhito,Tchuente,1961-11-07,2000-06-21,1999-01-01,Senior Engineer
102396,Jinpo,Macedo,1953-06-10,2000-03-26,1999-01-01,Engineer
102407,Masami,Falster,1953-01-21,2000-03-17,1999-01-01,Engineer
102416,Ugo,Chenney,1959-11-08,2000-06-30,1999-01-01,Engineer
102528,Gully,Casperson,1963-01-08,2000-01-07,1999-01-01,Technique Leader
102658,Xumin,Businaro,1957-08-03,2000-10-08,1999-01-01,Senior Staff
102743,Moto,Vakili,1962-12-19,2000-04-20,1999-01-01,Staff
102762,Josyula,Setlzner,1954-04-22,2000-01-02,1999-01-01,Senior Staff
102792,Toshimi,Shackell,1959-02-03,2000-07-15,1999-01-01,Staff
102977,Sumant,Schneeberger,1958-04-29,2000-08-13,1999-01-01,Staff
102985,Becky,Erbe,1953-04-22,2000-04-12,1999-01-01,Senior Engineer
103053,Duri,Delgrossi,1962-04-20,2000-01-21,1999-01-01,Engineer
103118,Sasan,Petersohn,1961-05-06,2000-12-24,2001-01-19,Staff
103163,Siamak,Strandh,1952-12-25,2000-01-26,1999-01-01,Assistant Engineer
103218,Christophe,Madeira,1960-03-27,2000-07-21,2001-10-04,Engineer
103246,Lillian,Kabayashi,1959-07-09,2000-10-27,1999-01-01,Senior Engineer
103312,Nakhoon,Swab,1957-11-13,2000-01-06,2001-04-21,Engineer
103451,Radhakrishnan,Spinelli,1963-06-20,2000-04-20,1999-01-01,Senior Staff
103480,Isaac,Eickenmeyer,1955-03-08,2000-01-31,2001-02-19,Engineer
103504,Leaf,Axelband,1952-07-28,2000-10-15,1999-01-01,Staff
103514,Marsha,Schmezko,1964-02-20,2000-02-26,1999-01-01,Staff
103542,Dmitry,Farrow,1955-02-22,2000-10-12,1999-01-01,Technique Leader
103621,Yuqun,Vidya,1954-05-30,2000-09-16,1999-01-01,Staff
103657,Lenore,Diderrich,1954-12-10,2000-10-19,1999-01-01,Engineer
103664,Xiaoqiu,Codenie,1955-07-07,2000-01-16,1999-01-01,Staff
103687,Shirish,Stenning,1952-11-04,2000-10-14,1999-01-01,Senior Engineer
103746,Heping,Grospietsch,1959-07-29,2000-01-24,1999-01-01,Staff
103771,Yuguang,Danner,1959-12-04,2000-11-04,1999-01-01,Staff
103817,Mahendra,Kroll,1961-01-10,2000-12-05,1999-01-01,Engineer
103826,Gudjon,Spataro,1958-10-11,2000-12-11,2001-07-19,Engineer
103881,Yucai,Ramaiah,1960-03-06,2000-01-23,2000-05-22,Staff
103966,Weijing,Leijenhorst,1964-12-08,2000-01-24,1999-01-01,Senior Engineer
103974,Valdiodio,Gluchowski,1958-07-12,2000-07-13,1999-01-01,Engineer
104002,Subbu,Passino,1953-10-11,2000-06-22,1999-01-01,Staff
104052,Gadiel,Fritzsche,1952-12-29,2000-07-15,1999-01-01,Senior Staff
104227,Yongqiao,Schaar,1956-05-12,2000-01-22,2000-01-25,Senior Engineer
104235,Arne,Shumilov,1960-12-24,2000-01-27,1999-01-01,Engineer
104411,Zengping,Desikan,1953-09-17,2000-01-09,1999-01-01,Senior Staff
104505,Maren,Parascandalo,1961-04-17,2000-02-01,1999-01-01,Engineer
104531,Lokesh,Lambe,1956-01-28,2000-01-08,1999-01-01,Engineer
104602,Tiina,Morrow,1957-10-21,2000-05-07,1999-01-01,Senior Staff
104616,Kayoko,Scharstein,1960-07-28,2000-01-26,1999-01-01,Technique Leader
104779,Sergi,Hartvigsen,1952-06-05,2000-08-23,1999-01-01,Senior Engineer
104808,Fox,Schieder,1957-08-24,2000-10-30,1999-01-01,Senior Engineer
104922,Arco,Eiter,1959-04-10,2000-02-26,1999-01-01,Senior Staff
105010,Subbu,Chiodo,1954-10-07,2000-01-03,1999-01-01,Staff
105046,Kristian,Hagimont,1956-08-11,2000-12-09,2001-11-24,Staff
105090,Arfst,Waterhouse,1964-12-14,2000-02-19,1999-01-01,Technique Leader
105119,Moie,Takkinen,1962-10-12,2000-07-22,1999-01-01,Staff
105231,Alper,Kushnir,1964-02-19,2000-02-24,1999-01-01,Senior Engineer
105261,Domenick,Rullman,1954-07-03,2000-02-16,1999-01-01,Senior Engineer
105272,Nimmagadda,Lichtner,1954-08-25,2000-09-19,1999-01-01,Engineer
105390,Duri,Peltason,1962-09-22,2000-01-31,1999-01-01,Assistant Engineer
105405,Sangeeta,Mattern,1959-05-26,2000-02-18,2001-12-30,Senior Engineer
105424,Gad,Tchuente,1955-05-11,2000-10-12,1999-01-01,Assistant Engineer
105472,Ferdinand,Baba,1962-02-12,2000-01-03,1999-01-01,Senior Engineer
105483,Rosita,Uhrig,1957-08-01,2000-01-02,1999-01-01,Staff
105643,Xiaopeng,Kumaresan,1958-11-18,2000-01-02,1999-01-01,Engineer
105667,Chaitali,Toyoshima,1957-02-15,2000-06-08,1999-01-01,Staff
105845,Aimee,Itschner,1952-07-22,2000-01-06,1999-01-01,Engineer
105850,Shao,Bernardinello,1954-10-31,2000-10-10,1999-01-01,Senior Engineer
105897,Ingmar,Jenevein,1961-04-07,2000-06-23,1999-01-01,Senior Engineer
105909,Freyja,Kieras,1953-07-11,2000-01-18,2002-06-30,Staff
105923,Chandrasekaran,Speel,1957-08-25,2000-08-23,2000-11-23,Staff
105937,Jaber,Basagni,1956-05-07,2000-01-13,1999-01-01,Staff
105965,Djelloul,Kolvik,1953-04-30,2000-01-02,1999-01-01,Staff
106028,Narain,Bahr,1963-01-17,2000-01-17,1999-01-01,Engineer
106060,Remko,Underwood,1956-04-27,2000-01-24,1999-01-01,Staff
106153,Arfst,Gluchowski,1963-01-31,2000-04-16,1999-01-01,Staff
106191,Nishit,Hedayat,1953-06-08,2000-01-05,1999-01-01,Staff
106297,Goh,Tsukuda,1957-05-15,2000-01-26,1999-01-01,Senior Engineer
106346,Perry,Cronan,1955-07-31,2000-04-10,1999-01-01,Engineer
106365,Odinaldo,Crooks,1957-12-21,2000-03-29,1999-01-01,Staff
106401,Frederique,Basart,1960-03-24,2000-01-25,2001-10-01,Staff
106405,Val,Deville,1952-02-15,2000-01-05,2001-12-10,Staff
106501,Hyuncheol,Masamoto,1952-10-12,2000-04-08,1999-01-01,Staff
106511,Gadiel,Honglei,1961-02-24,2000-05-24,1999-01-01,Senior Engineer
106538,Kish,Thebaut,1961-09-10,2000-01-03,1999-01-01,Engineer
106644,Martina,Aingworth,1957-07-29,2000-09-07,1999-01-01,Senior Staff
106703,Gennady,Kuzuoka,1955-12-04,2000-10-26,1999-01-01,Senior Engineer
106801,Sukumar,Norsworthy,1960-08-21,2000-12-10,1999-01-01,Engineer
106807,Lenore,McAlpine,1955-01-18,2000-01-18,1999-01-01,Engineer
106829,Rosalyn,Plesums,1957-12-04,2000-12-28,1999-01-01,Senior Engineer
106899,Kwangho,Ramalingam,1961-01-24,2000-12-22,1999-01-01,Assistant Engineer
106986,Premal,McClurg,1959-01-02,2000-06-13,1999-01-01,Staff
107003,Zvonko,Yetto,1959-08-04,2000-01-09,1999-01-01,Staff
107004,Yuriy,Peac,1959-02-12,2000-06-02,1999-01-01,Engineer
107022,Pranay,Basagni,1964-10-14,2000-01-29,2001-01-14,Engineer
107066,Arfst,Bazelow,1961-07-23,2000-10-17,1999-01-01,Senior Engineer
107159,Jovan,Molenaar,1959-05-15,2000-06-01,1999-01-01,Engineer
107369,Maik,Navazio,1956-09-19,2000-11-20,1999-01-01,Senior Engineer
107482,Keiichiro,Rosay,1952-10-04,2000-01-22,2000-03-10,Staff
107548,Rosella,Hmelo,1964-04-12,2000-01-18,1999-01-01,Staff
107705,Guoxiang,Antonisse,1961-05-27,2000-01-25,2000-08-01,Engineer
107718,Ibibia,Dehkordi,1955-07-01,2000-10-16,1999-01-01,Engineer
107728,Hairong,Gladwell,1963-11-23,2000-01-31,1999-01-01,Assistant Engineer
107859,Ebru,Schlegelmilch,1952-03-28,2000-12-30,1999-01-01,Staff
107924,Achilleas,Georgakopoulos,1953-06-05,2000-08-19,1999-01-01,Senior Staff
107995,Rosita,Collavizza,1959-10-15,2000-03-02,2002-02-08,Staff
108085,Khun,Molenkamp,1955-08-01,2000-08-16,1999-01-01,Senior Staff
108123,Leen,Pietracaprina,1962-09-24,2000-01-16,1999-01-01,Engineer
108190,Subhrajyoti,Edelhoff,1963-05-02,2000-11-29,1999-01-01,Senior Engineer
108199,Dekang,Pluym,1956-07-24,2000-03-01,2000-08-13,Staff
108201,Mariangiola,Boreale,1955-04-14,2000-01-01,1999-01-01,Senior Engineer
108209,Shaunak,Auyong,1962-02-21,2000-03-24,1999-01-01,Senior Staff
108281,Piyawadee,Cardazo,1961-09-03,2000-11-04,1999-01-01,Senior Engineer
108350,Zejun,Anguita,1957-02-27,2000-12-15,1999-01-01,Engineer
108514,Kitty,Baby,1963-01-31,2000-06-15,1999-01-01,Senior Engineer
108707,Berry,Holburn,1962-06-17,2000-12-26,1999-01-01,Assistant Engineer
108725,Thanasis,Picaronny,1961-10-11,2000-02-17,1999-01-01,Staff
108769,Brewster,Ozeki,1964-10-12,2000-08-14,1999-01-01,Engineer
108904,Lobel,Munck,1958-02-19,2000-11-26,1999-01-01,Senior Staff
108934,Alassane,Stemann,1958-10-05,2000-01-01,1999-01-01,Engineer
108936,Tooru,Sundgren,1961-04-04,2000-07-28,1999-01-01,Technique Leader
109056,Abdelkader,Muhling,1953-06-06,2000-01-10,2001-03-04,Senior Engineer
109148,Takahira,Anguita,1959-06-25,2000-11-01,1999-01-01,Senior Engineer
109170,Nahum,Schaft,1962-09-21,2000-12-08,1999-01-01,Engineer
109192,Baruch,Barbanera,1964-04-04,2000-10-25,1999-01-01,Staff
109295,Magy,Waterhouse,1952-02-12,2000-08-16,1999-01-01,Assistant Engineer
109323,Shuho,Gomatam,1955-02-03,2000-02-19,1999-01-01,Senior Engineer
109341,Jungsoon,Kolvik,1952-10-08,2000-10-12,1999-01-01,Engineer
109352,Seongbae,Juneja,1959-10-07,2000-11-15,1999-01-01,Engineer
109399,Spyrose,Baek,1957-09-05,2000-01-18,1999-01-01,Senior Engineer
109410,Susanne,Rattan,1961-09-03,2000-01-27,1999-01-01,Staff
109613,Radhia,Emiris,1954-09-22,2000-08-01,1999-01-01,Senior Staff
109681,Marsal,Ramaiah,1955-11-07,2000-01-06,1999-01-01,Senior Engineer
109819,Tadanori,Anily,1956-06-26,2000-01-06,1999-01-01,Senior Staff
109885,Mooi,Sessa,1955-04-16,2000-05-26,1999-01-01,Senior Staff
109895,Georgi,McClure,1954-12-23,2000-04-26,1999-01-01,Staff
109906,Shigehiro,Oskamp,1959-11-07,2000-01-18,1999-01-01,Assistant Engineer
109936,Shem,Serov,1962-10-01,2000-07-18,1999-01-01,Senior Staff
109965,Wilmer,Heping,1956-09-24,2000-09-09,1999-01-01,Senior Engineer
109986,Ohad,Veeraraghavan,1963-11-30,2000-09-03,1999-01-01,Staff
200199,Cedric,Percebois,1961-04-26,2000-01-23,1999-01-01,Engineer
200214,Fusako,DeMori,1964-01-19,2000-07-27,1999-01-01,Technique Leader
200216,Jianhua,Merey,1953-07-06,2000-01-28,1999-01-01,Engineer
